101,266 88,230 106,192 162,281 161,243 153,198 116,396 119,344 116,278 141,388 133,335 140,276 128,272 131,196 131,183 127,145
0 jigglejiggle01 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
0.6 jigglejiggle02 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
1.2 jigglejiggle01 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
1.8 jigglejiggle01 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
2.4 jigglejiggle03 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
3.0 jigglejiggle04 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
3.6 jigglejiggle03 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
4.2 jigglejiggle04 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
4.8 jigglejiggle05 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
5.4 jigglejiggle06 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
6.6 jigglejiggle07 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
7.2 jigglejiggle08 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
7.8 jigglejiggle09 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
8.4 jigglejiggle10 68,250 83,233 104,192 190,252 163,234 154,195 116,396 117,337 115,276 139,389 136,337 141,273 123,268 128,194 128,178 131,147
